0,question_id,175127380280
0,media_identifier,263101659560
0,question_title,Finding the General Term of a Given Geometric Sequence
0,start_time,00:02:33.050
0,end_time,00:04:37.380
1,question_id,648135917479
1,media_identifier,532180375847
1,question_title,
1,start_time,00:04:47.650
1,end_time,00:08:43.140
2,question_id,
2,media_identifier,
2,question_title,
2,start_time,00:08:59.290
2,end_time,00:12:43.530
3,question_id,467198792769
3,media_identifier,385127940739
3,question_title,Finding the Order of a Term in a Geometric Sequence given Its Value and General Term
3,start_time,00:12:55.480
3,end_time,00:15:35.590
