0,question_id,697140938979
0,media_identifier,250162493740
0,question_title,Adding Components of Two Vectors in 2D
0,start_time,00:00:39.300
0,end_time,00:02:20.270
1,question_id,
1,media_identifier,
1,question_title,
1,start_time,00:02:26.370
1,end_time,00:04:12.800
2,question_id,
2,media_identifier,
2,question_title,
2,start_time,00:07:44.810
2,end_time,00:09:54.770
3,question_id,
3,media_identifier,
3,question_title,
3,start_time,00:09:59.810
3,end_time,00:12:13.220
4,question_id,238170949567
4,media_identifier,158163675760
4,question_title,Expressing Vectors in terms of 𝑢 and 𝑣
4,start_time,00:12:17.850
4,end_time,00:14:55.450
