0,question_id,724198105635
0,media_identifier,358107276187
0,question_title,"Determining the Probability of Compound Events Involving
                Spinners"
0,start_time,00:03:46.370
0,end_time,00:05:20.470
1,question_id,
1,media_identifier,792149261438
1,question_title,"Finding the Probability of Independent Events Occuring
                Together"
1,start_time,00:07:42.180
1,end_time,00:08:33.400
2,question_id,712102842807
2,media_identifier,460156024398
2,question_title,"Finding the Probability of Selection without
                Replacement"
2,start_time,00:08:57.710
2,end_time,00:11:18.160
3,question_id,476105108043
3,media_identifier,274189803101
3,question_title,"Finding the Probability of the Intersection of Independent Events in a
                Real Context"
3,start_time,00:11:28.080
3,end_time,00:14:11.520
