0,question_id,823109043479
0,media_identifier,326149097517
0,question_title,Finding the Magnitude of a Smooth Inclined Plane’s Reaction to a Body Placed on It
0,start_time,00:06:19.180
0,end_time,00:09:10.470
1,question_id,
1,media_identifier,394162107180
1,question_title,Finding the Acceleration of Body Placed on an Inclined Plane with a Force Acting on It
1,start_time,00:09:14.080
1,end_time,00:12:05.680
2,question_id,186159035957
2,media_identifier,945197920673
2,question_title,Studying the Motion of a Projected Body on a Smooth Inclined Plane
2,start_time,00:12:09.670
2,end_time,00:16:30.120
