0,question_id,603176259486
0,media_identifier,785109671394
0,question_title,The Definition of a Circular Segment
0,start_time,00:00:23.580
0,end_time,00:01:45.820
1,question_id,284152170652
1,media_identifier,
1,question_title,Identifying the Area of a Circular Segment given Its Radius and Central Angle
1,start_time,00:01:57.160
1,end_time,00:06:13.870
2,question_id,763181762193
2,media_identifier,
2,question_title,Finding the Area of a Segment given the Area of the Circle and the Segment's Central Angle
2,start_time,00:06:24.600
2,end_time,00:09:25.960
3,question_id,130175278563
3,media_identifier,329193812910
3,question_title,Finding the Area of a Circular Segment
3,start_time,00:09:36.610
3,end_time,00:13:21.510
